model,accuracy,error,precision,recall,f1-score
decisionTree_criterion=entropy_depth=None_minsplit=2__SibSp_Parch_Fare_passenger_class_isFemale,0.8042,0.1958,0.7358,0.7358,0.7358
decisionTree_criterion=entropy_depth=10_minsplit=2__SibSp_Parch_Fare_passenger_class_isFemale,0.8112,0.1888,0.7708,0.6981,0.7327
decisionTree_criterion=gini_depth=10_minsplit=2__SibSp_Parch_Fare_passenger_class_isFemale,0.7972,0.2028,0.7308,0.717,0.7238
SVM_C=1_kernel=rbf__SibSp_Parch_Fare_passenger_class_isFemale,0.7832,0.2168,0.9231,0.4528,0.6076
SVM_C=2_kernel=rbf__SibSp_Parch_Fare_passenger_class_isFemale,0.8252,0.1748,0.8684,0.6226,0.7253
SVM_C=4_kernel=rbf__SibSp_Parch_Fare_passenger_class_isFemale,0.8322,0.1678,0.8222,0.6981,0.7551
NaiveBayes__SibSp_Parch_Fare_passenger_class_isFemale,0.8112,0.1888,0.7407,0.7547,0.7477
regLog_lr=0.01_reg=l2_lambda=0.001_mbatch=20_epochs=200__SibSp_Parch_Fare_passenger_class_isFemale,0.8112,0.1888,0.76,0.717,0.7379
regLog_lr=0.01_reg=l2_lambda=0.01_mbatch=20_epochs=200__SibSp_Parch_Fare_passenger_class_isFemale,0.8042,0.1958,0.7551,0.6981,0.7255
regLog_lr=0.1_reg=l2_lambda=0.001_mbatch=20_epochs=200__SibSp_Parch_Fare_passenger_class_isFemale,0.7762,0.2238,0.6721,0.7736,0.7193
regLog_lr=0.01_reg=l1_lambda=0.0001_mbatch=20_epochs=200__SibSp_Parch_Fare_passenger_class_isFemale,0.8112,0.1888,0.76,0.717,0.7379
regLog_lr=0.01_reg=l1_lambda=0.0001_mbatch=10_epochs=200__SibSp_Parch_Fare_passenger_class_isFemale,0.7902,0.2098,0.717,0.717,0.717
regLog_lr=0.01_reg=l2_lambda=0.001_mbatch=20_epochs=200__SibSp_Parch_Fare_passenger_class_isFemale,0.8112,0.1888,0.76,0.717,0.7379
regLog_lr=0.01_reg=l1_lambda=0.001_mbatch=20_epochs=200__SibSp_Parch_Fare_passenger_class_isFemale,0.8042,0.1958,0.7551,0.6981,0.7255
